commands,build,build,build,build,build,build,build
warm-up build #1,281343,188547,188883,69272,69830,5650,5077
measured build #1,218553,188262,66096,61507,4379,5178,1468
measured build #2,221042,188942,65387,69759,3297,4900,1500
mean,219797.5,188602.0,65741.5,65633.0,3838.0,5039.0,1484.0
min,218553.0,188262.0,65387.0,61507.0,3297.0,4900.0,1468.0
25th percentile,218553.0,188262.0,65387.0,61507.0,3297.0,4900.0,1468.0
median,219797.5,188602.0,65741.5,65633.0,3838.0,5039.0,1484.0
75th percentile,221042.0,188942.0,66096.0,69759.0,4379.0,5178.0,1500.0
max,221042.0,188942.0,66096.0,69759.0,4379.0,5178.0,1500.0
stddev,1759.9887783733168,480.83261120685233,501.3387078612622,5835.0451583513905,765.0895372438445,196.5756851698602,22.627416997969522
